Student,Subject,Status
Olivia Red,Economics,PASSED
Olivia Red,Geography,FAILED
Olivia Red,Art,FAILED
Olivia Red,Psychology,PASSED
Olivia Red,Mathematics,FAILED
Olivia Red,Biology,PASSED
Olivia Red,History,PASSED
Olivia Red,Statistics,PASSED
Olivia Red,Physics,FAILED
Olivia Red,English,PASSED
Olivia Red,Chemistry,PASSED
Olivia Red,Sociology,PASSED
Olivia Red,Music,FAILED
Olivia Red,Computer Science,FAILED
Olivia Red,Philosophy,FAILED
Quincy Johnson,Geography,FAILED
Quincy Johnson,Economics,PASSED
Quincy Johnson,Art,FAILED
Quincy Johnson,Psychology,PASSED
Quincy Johnson,Biology,PASSED
Quincy Johnson,Mathematics,FAILED
Quincy Johnson,History,FAILED
Quincy Johnson,Statistics,PASSED
Quincy Johnson,Physics,FAILED
Quincy Johnson,English,FAILED
Quincy Johnson,Chemistry,PASSED
Quincy Johnson,Sociology,PASSED
Quincy Johnson,Music,FAILED
Quincy Johnson,Computer Science,FAILED
Quincy Johnson,Philosophy,PASSED
Kelly Pink,Economics,PASSED
Kelly Pink,Geography,FAILED
Kelly Pink,Art,FAILED
Kelly Pink,Psychology,PASSED
Kelly Pink,Mathematics,FAILED
Kelly Pink,Biology,PASSED
Kelly Pink,History,FAILED
Kelly Pink,Statistics,PASSED
Kelly Pink,Physics,FAILED
Kelly Pink,English,PASSED
Kelly Pink,Chemistry,PASSED
Kelly Pink,Sociology,PASSED
Kelly Pink,Music,FAILED
Kelly Pink,Computer Science,FAILED
Kelly Pink,Philosophy,PASSED
Jack Magenta,Economics,PASSED
Jack Magenta,Geography,FAILED
Jack Magenta,Art,FAILED
Jack Magenta,Psychology,PASSED
Jack Magenta,Biology,PASSED
Jack Magenta,Mathematics,FAILED
Jack Magenta,History,PASSED
Jack Magenta,Statistics,PASSED
Jack Magenta,Physics,FAILED
Jack Magenta,English,FAILED
Jack Magenta,Chemistry,PASSED
Jack Magenta,Sociology,PASSED
Jack Magenta,Music,FAILED
Jack Magenta,Computer Science,PASSED
Jack Magenta,Philosophy,FAILED
Mona Teal,Economics,PASSED
Mona Teal,Geography,FAILED
Mona Teal,Art,FAILED
Mona Teal,Psychology,PASSED
Mona Teal,Biology,PASSED
Mona Teal,Mathematics,PASSED
Mona Teal,History,PASSED
Mona Teal,Statistics,PASSED
Mona Teal,Physics,FAILED
Mona Teal,English,PASSED
Mona Teal,Chemistry,PASSED
Mona Teal,Sociology,PASSED
Mona Teal,Music,FAILED
Mona Teal,Computer Science,FAILED
Mona Teal,Philosophy,PASSED
Sam Pink,Geography,FAILED
Sam Pink,Economics,PASSED
Sam Pink,Art,FAILED
Sam Pink,Psychology,PASSED
Sam Pink,Mathematics,FAILED
Sam Pink,Biology,PASSED
Sam Pink,History,PASSED
Sam Pink,Statistics,PASSED
Sam Pink,Physics,FAILED
Sam Pink,English,FAILED
Sam Pink,Chemistry,PASSED
Sam Pink,Sociology,PASSED
Sam Pink,Music,FAILED
Sam Pink,Computer Science,FAILED
Sam Pink,Philosophy,FAILED
Bob Yellow,Geography,FAILED
Bob Yellow,Economics,PASSED
Bob Yellow,Art,FAILED
Bob Yellow,Psychology,PASSED
Bob Yellow,Mathematics,FAILED
Bob Yellow,Biology,PASSED
Bob Yellow,History,PASSED
Bob Yellow,Statistics,PASSED
Bob Yellow,Physics,FAILED
Bob Yellow,English,PASSED
Bob Yellow,Chemistry,PASSED
Bob Yellow,Sociology,FAILED
Bob Yellow,Music,PASSED
Bob Yellow,Computer Science,PASSED
Bob Yellow,Philosophy,PASSED
Hank Yellow,Economics,PASSED
Hank Yellow,Geography,FAILED
Hank Yellow,Art,FAILED
